tab	measurements
citations	description	dir_dec	dir_inc	experiment	instrument_codes	magn_mass	magn_moment	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
na	NRM0	8.87	32.32	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001722	4.58913e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	LT-NO:LP-DIR-AF:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	1	pmagpy-4.2.96	A-1-2	u	0.0	0.0			0	273.0
na	NRM	8.08	33.19	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0015	3.9975e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT1	LT-LT-Z:LP-DIR-AF:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	2	pmagpy-4.2.96	A-1-2	u	0.0	0.0			1	77.0
na	NRM	8.09	32.66	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001472	3.92288e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT2	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	3	pmagpy-4.2.96	A-1-2	u	0.005	0.0			2	273.0
na	NRM	8.04	32.75	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.00141	3.75765e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT3	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	4	pmagpy-4.2.96	A-1-2	u	0.01	0.0			3	273.0
na	NRM	7.85	32.78	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001303	3.472495e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT4	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	5	pmagpy-4.2.96	A-1-2	u	0.015	0.0			4	273.0
na	NRM	7.44	32.78	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001165	3.104725e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT5	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	6	pmagpy-4.2.96	A-1-2	u	0.02	0.0			5	273.0
na	NRM	7.65	32.68	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001018	2.71297e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT6	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	7	pmagpy-4.2.96	A-1-2	u	0.025	0.0			6	273.0
na	NRM	6.95	32.79	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0009114	2.428881e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT7	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	8	pmagpy-4.2.96	A-1-2	u	0.03	0.0			7	273.0
na	NRM	7.39	33.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0008135	2.1679775e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT8	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	9	pmagpy-4.2.96	A-1-2	u	0.035	0.0			8	273.0
na	NRM	7.56	33.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.000755	2.012075e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT9	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	10	pmagpy-4.2.96	A-1-2	u	0.04	0.0			9	273.0
na	NRM	7.61	33.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0006931	1.8471115e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT10	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	11	pmagpy-4.2.96	A-1-2	u	0.045	0.0			10	273.0
na	NRM	7.95	33.44	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0006462	1.722123e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT11	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	12	pmagpy-4.2.96	A-1-2	u	0.05	0.0			11	273.0
na	NRM	7.76	33.2	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0006038	1.609127e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT12	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	13	pmagpy-4.2.96	A-1-2	u	0.055	0.0			12	273.0
na	NRM	7.0	32.88	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0005704	1.520116e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT13	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	14	pmagpy-4.2.96	A-1-2	u	0.06	0.0			13	273.0
na	NRM	7.92	33.06	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0005415	1.4430975e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT14	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	15	pmagpy-4.2.96	A-1-2	u	0.065	0.0			14	273.0
na	NRM	7.95	32.51	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0005099	1.3588835e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT15	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	16	pmagpy-4.2.96	A-1-2	u	0.07	0.0			15	273.0
na	NRM	8.56	32.84	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0004901	1.3061165e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT16	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	17	pmagpy-4.2.96	A-1-2	u	0.075	0.0			16	273.0
na	NRM	8.22	33.11	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0004522	1.205113e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT17	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	18	pmagpy-4.2.96	A-1-2	u	0.08	0.0			17	273.0
na	NRM	7.47	33.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.00043	1.14595e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT18	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	19	pmagpy-4.2.96	A-1-2	u	0.085	0.0			18	273.0
na	NRM	7.87	33.09	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0003985	1.0620025e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT19	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	20	pmagpy-4.2.96	A-1-2	u	0.09	0.0			19	273.0
na	NRM	8.36	33.17	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0003692	9.83918e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT20	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	21	pmagpy-4.2.96	A-1-2	u	0.095	0.0			20	273.0
na	NRM	9.33	33.21	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0003511	9.356815e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT21	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	22	pmagpy-4.2.96	A-1-2	u	0.1	0.0			21	273.0
na	NRM	8.5	33.18	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0003223	8.589294999999999e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT22	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	23	pmagpy-4.2.96	A-1-2	u	0.105	0.0			22	273.0
na	NRM	9.64	33.22	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0003066	8.170890000000001e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT23	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	24	pmagpy-4.2.96	A-1-2	u	0.11	0.0			23	273.0
na	NRM	8.32	33.55	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0002821	7.517965000000001e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT24	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	25	pmagpy-4.2.96	A-1-2	u	0.115	0.0			24	273.0
na	NRM	8.5	33.1	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0002644	7.04626e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT25	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	26	pmagpy-4.2.96	A-1-2	u	0.12	0.0			25	273.0
na	NRM	9.46	33.54	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0002379	6.340035e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT26	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	27	pmagpy-4.2.96	A-1-2	u	0.125	0.0			26	273.0
na	NRM	9.71	33.52	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0002285	6.089525e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT27	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	28	pmagpy-4.2.96	A-1-2	u	0.13	0.0			27	273.0
na	NRM	9.81	33.53	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0002104	5.60716e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT28	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	29	pmagpy-4.2.96	A-1-2	u	0.135	0.0			28	273.0
na	NRM	8.56	33.18	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001899	5.060835000000001e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT29	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	30	pmagpy-4.2.96	A-1-2	u	0.14	0.0			29	273.0
na	NRM	10.37	34.2	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001761	4.693065e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT30	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	31	pmagpy-4.2.96	A-1-2	u	0.145	0.0			30	273.0
na	NRM	7.39	33.26	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001651	4.399915e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT31	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	32	pmagpy-4.2.96	A-1-2	u	0.15	0.0			31	273.0
na	NRM	6.44	32.94	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001528	4.07212e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT32	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	33	pmagpy-4.2.96	A-1-2	u	0.155	0.0			32	273.0
na	NRM	7.16	32.28	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001445	3.850925e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT33	LT-AF-Z:LP-DIR-AF:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	34	pmagpy-4.2.96	A-1-2	u	0.16	0.0			33	273.0
na	ARM00	18.3	-59.06	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001369	3.648385e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT34	LT-AF-I:LT-NRM-PAR:LP-ARM-AFD:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	35	pmagpy-4.2.96	A-1-2	u	0.0	5e-05	18.3	-59.06	34	273.0
na	ARM0	12.29	-54.15	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.00118	3.1447e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT35	LT-AF-I:LT-NRM-PAR:LT-LT-Z:LP-ARM-AFD:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	36	pmagpy-4.2.96	A-1-2	u	0.0	5e-05	18.3	-59.06	35	77.0
na	ARM0	12.24	-53.96	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001139	3.035435e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT36	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	37	pmagpy-4.2.96	A-1-2	u	0.005	0.0			36	273.0
na	ARM0	12.41	-53.56	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.001057	2.816905e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT37	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	38	pmagpy-4.2.96	A-1-2	u	0.01	0.0			37	273.0
na	ARM0	12.17	-52.36	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0009456	2.520024e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT38	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	39	pmagpy-4.2.96	A-1-2	u	0.015	0.0			38	273.0
na	ARM0	12.37	-51.47	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0008255	2.1999575e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT39	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	40	pmagpy-4.2.96	A-1-2	u	0.02	0.0			39	273.0
na	ARM0	12.01	-49.33	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0007084	1.887886e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT40	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	41	pmagpy-4.2.96	A-1-2	u	0.025	0.0			40	273.0
na	ARM0	12.07	-47.92	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0006158	1.641107e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT41	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	42	pmagpy-4.2.96	A-1-2	u	0.03	0.0			41	273.0
na	ARM0	11.98	-45.97	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0005351	1.4260415e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT42	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	43	pmagpy-4.2.96	A-1-2	u	0.035	0.0			42	273.0
na	ARM0	10.52	-43.83	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0004747	1.2650755e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT43	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	44	pmagpy-4.2.96	A-1-2	u	0.04	0.0			43	273.0
na	ARM0	10.32	-41.58	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.000421	1.121965e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT44	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	45	pmagpy-4.2.96	A-1-2	u	0.045	0.0			44	273.0
na	ARM0	11.87	-39.29	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0003771	1.0049715e-05	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT45	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	46	pmagpy-4.2.96	A-1-2	u	0.05	0.0			45	273.0
na	ARM0	9.92	-36.21	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0003391	9.037015e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT46	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	47	pmagpy-4.2.96	A-1-2	u	0.055	0.0			46	273.0
na	ARM0	10.21	-33.15	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0003097	8.253505e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT47	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	48	pmagpy-4.2.96	A-1-2	u	0.06	0.0			47	273.0
na	ARM0	11.57	-30.15	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.00028	7.461999999999999e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT48	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	49	pmagpy-4.2.96	A-1-2	u	0.065	0.0			48	273.0
na	ARM0	10.22	-28.51	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0002564	6.83306e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT49	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	50	pmagpy-4.2.96	A-1-2	u	0.07	0.0			49	273.0
na	ARM0	9.95	-24.22	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.000231	6.15615e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT50	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	51	pmagpy-4.2.96	A-1-2	u	0.075	0.0			50	273.0
na	ARM0	9.83	-19.62	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.000211	5.6231500000000005e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT51	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	52	pmagpy-4.2.96	A-1-2	u	0.08	0.0			51	273.0
na	ARM0	10.39	-15.88	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001924	5.127459999999999e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT52	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	53	pmagpy-4.2.96	A-1-2	u	0.085	0.0			52	273.0
na	ARM0	9.9	-9.18	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001805	4.810325e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT53	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	54	pmagpy-4.2.96	A-1-2	u	0.09	0.0			53	273.0
na	ARM0	8.98	-5.57	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.000169	4.50385e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT54	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	55	pmagpy-4.2.96	A-1-2	u	0.095	0.0			54	273.0
na	ARM0	9.47	0.63	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001629	4.341285e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT55	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	56	pmagpy-4.2.96	A-1-2	u	0.1	0.0			55	273.0
na	ARM0	8.21	6.52	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001561	4.160065e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT56	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	57	pmagpy-4.2.96	A-1-2	u	0.105	0.0			56	273.0
na	ARM0	8.28	10.73	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001504	4.00816e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT57	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	58	pmagpy-4.2.96	A-1-2	u	0.11	0.0			57	273.0
na	ARM0	7.33	15.18	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001462	3.8962300000000005e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT58	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	59	pmagpy-4.2.96	A-1-2	u	0.115	0.0			58	273.0
na	ARM0	6.42	18.1	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001432	3.8162800000000005e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT59	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	60	pmagpy-4.2.96	A-1-2	u	0.12	0.0			59	273.0
na	ARM0	9.95	21.88	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.000141	3.75765e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT60	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	61	pmagpy-4.2.96	A-1-2	u	0.125	0.0			60	273.0
na	ARM0	11.34	24.56	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	KCC-DSPIN	0.0001379	3.675035e-06	273.0	A-1-2:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT61	LT-AF-Z:LP-ARM-AFD:LT-AF-Z-TUMB:LP-PI-TRM:LP-PI-ALT-AFARM:LP-LT	g	62	pmagpy-4.2.96	A-1-2	u	0.13	0.0			61	273.0
